  1   1.0  -54.424  26.530   3.038
  1   1.4   45.981  -2.470   3.038
  1   1.5   28.976  19.090   3.038
  1   1.3   -3.401 -42.430   3.038
  2   2.1  -52.122  29.510   2.530
  2   2.2   44.526  -0.510   2.530
  2   2.3   29.665  17.830   2.530
  2   2.4   -2.816 -41.050   2.530
  4   4.4  -55.706 -10.400   1.164
  4   4.1   32.619 -32.370   1.164
  4   4.2    7.921 -47.020   1.164
  4   4.3   11.370  16.750   1.164
  8   8.4  -67.088   4.990   2.661
  8   8.1   34.524 -26.090   2.661
  8   8.2   21.028 -40.630   2.661
  8   8.3   22.422  10.900   2.661
  9   9.2   52.774 -25.420   5.160
  9   9.4  -55.796  -1.900   5.160
  9   9.3  -18.936 -50.830   5.160
  9   9.1    4.547  36.350   5.160
 12  12.3   49.055 -19.370   1.830
 12  12.4  -52.422   3.250   1.830
 12  12.2  -15.532 -45.260   1.830
 12  12.1    5.462  33.530   1.830
 24  24.4   55.773   5.090   2.600
 24  24.3    4.352  50.790   2.600
 24  24.2   30.880  34.440   2.600
 24  24.1  -12.113 -31.220   2.600
 29  29.2    0.333  50.800   2.500
 29  29.4   54.379   4.360   2.500
 29  29.3   32.650  32.110   2.500
 29  29.1  -11.603 -33.060   2.500
 42  42.3   52.639 -10.890   2.000
 42  42.1  -19.911  42.020   2.000
 42  42.2   19.048  31.480   2.000
 42  42.4  -14.468 -42.490   2.000
 53  53.4  -58.373  18.612   3.000
 53  53.2   46.618  -9.417   3.000
 53  53.1   25.209  20.553   3.000
 53  53.3    4.772 -54.157   3.000
 54  54.4  -60.615  15.409   2.000
 54  54.2   43.186 -10.292   2.000
 54  54.1   24.951  16.932   2.000
 54  54.3    1.807 -45.173   2.000
 56  56.1  -19.302  43.061   2.000
 56  56.3   50.307  -6.179   2.000
 56  56.2   23.226  27.525   2.000
 56  56.4  -11.335 -39.653   2.000
 57  57.2   52.509  -6.282   2.000
 57  57.4    1.926  43.200   2.000
 57  57.1   20.768  32.488   2.000
 57  57.3  -14.827 -38.012   2.000
