 9.5  -28.451  19.069   2.127
 9.1   34.844 -17.581   2.127
 9.2   26.180  15.379   2.127
 9.4   -0.107 -24.230   2.127
11.3  -42.255  14.898   4.847
11.1   19.571 -34.500   4.847
11.2   10.026 -36.350   4.847
11.4   28.530  10.669   4.847
12.2  -33.444  19.779   3.704
12.4   35.431 -24.331   3.704
12.5   -1.869 -31.420   3.704
12.1   27.355  18.019   3.704
14.4   47.474  -3.291   3.681
14.3   -9.213  40.099   3.681
14.1   26.181  30.619   3.681
14.2   -3.191 -15.700   3.681
16.4  -37.850  28.548   4.745
16.2   36.606  -7.131   4.745
16.1   36.754  -0.831   4.745
16.3    8.557 -28.590   4.745
23.2   33.962 -34.961   4.382
23.4  -36.087   3.779   4.382
23.1  -10.093 -34.980   4.382
23.3   19.131  20.449   4.382
24.1   41.598 -33.501   3.751
24.3  -29.478  -3.180   3.751
24.2  -19.198 -23.530   3.751
24.4    7.383  25.749   3.751
25.4  -34.766  28.769   4.084
25.2   37.781  -8.601   4.084
25.1   37.194   3.219   4.084
25.3    5.326 -27.410   4.084
26.1   32.640 -40.270   3.567
26.4  -31.387 -15.880   3.567
26.5  -19.491 -30.940   3.567
26.2   10.760  16.859   3.567
28.2   47.179 -28.281   4.086
28.1  -24.779  11.329   4.086
28.3  -17.143  22.929   4.086
28.4  -20.079 -15.480   4.086
32.3  -41.080   7.879   4.163
32.2   22.067 -36.350   4.163
32.1    2.977 -38.390   4.163
32.5   24.565  12.309   4.163
33.4  -33.738  31.629   5.673
33.5   40.278  -0.901   5.673
33.2   39.103   5.389   5.673
33.1    3.417 -27.420   5.673
40.3  -41.814   9.768   4.835
40.2   23.683 -35.470   4.835
40.4    2.977 -38.390   4.835
40.1   25.887  12.989   4.835
